milliseconds	sensor
7	40
81	39
132	40
183	48
234	62
285	62
336	55
387	40
438	39
489	39
540	39
591	48
642	62
693	60
744	46
795	39
846	41
897	42
948	40
999	39
1050	45
1101	61
1152	63
1203	63
1254	61
1305	42
1356	40
1407	40
1458	40
1509	43
1560	58
1611	63
1662	62
1714	56
1765	41
1816	41
1867	39
1918	39
1969	45
2020	61
2071	63
2122	63
2173	59
2224	43
2275	41
2326	39
2377	42
2428	57
2479	63
2530	63
2581	57
2632	42
2683	40
2734	40
2785	40
2836	52
2887	63
2938	61
2989	50
3040	40
3091	41
3142	41
3193	40
3244	41
3295	60
3347	63
3398	63
3449	61
3500	46
3551	40
3602	41
3653	41
3704	40
3755	40
3806	53
3857	63
3908	62
3959	53
4010	40
4061	41
4112	41
4163	40
4214	40
4265	41
4316	51
4367	61
4418	52
4469	40
4520	41
4571	45
4622	42
4673	41
4724	41
4775	41
4826	40
4877	40
4929	40
4980	43
5032	63
5082	66
5133	66
5184	46
5235	39
5286	44
5337	44
5388	43
5439	41
5490	35
5541	49
5592	64
5643	64
5694	47
5745	39
5796	41
5847	41
5898	40
5949	41
6000	56
6051	65
6102	64
6153	49
6204	39
6255	38
6306	38
6357	37
6408	44
6459	62
6510	63
6562	63
6613	62
6664	51
6715	41
6766	42
6817	43
6868	42
6919	43
6970	63
7021	65
7072	65
7123	62
7174	39
7225	38
7276	38
7327	38
7378	59
7429	65
7480	65
7532	55
7582	37
7633	37
7684	38
7735	38
7786	50
7837	64
7888	63
7939	53
7990	38
8041	38
8092	38
8143	38
8195	43
8246	62
8297	63
8348	62
8399	62
8450	49
8501	39
8552	41
8603	41
8654	39
8705	40
8756	56
8807	63
8858	63
8909	58
8960	42
9011	42
9062	43
9113	43
9164	54
9215	65
9266	65
9317	48
9368	39
9419	36
9470	39
9521	38
9572	36
9623	59
9674	57
9725	60
9776	56
9828	32
9879	23
9930	25
9981	32
10032	54
10083	55
10134	55
10185	56
10236	51
10287	32
10338	32
10389	32
10440	33
10491	34
10542	61
10593	63
10644	63
10695	64
10746	46
10797	40
10848	38
10899	38
10950	38
11001	38
11052	62
11103	65
11154	65
11205	63
11256	38
11307	36
11358	36
11410	39
11461	59
11512	63
11563	62
11614	51
11665	38
11716	40
11767	43
11818	40
11869	39
11920	38
11971	38
12022	40
12073	49
12124	58
12175	44
12226	40
12277	40
12328	39
12379	39
12430	39
12483	38
12534	43
12585	61
12636	63
12687	61
12738	40
12789	37
12840	38
12891	38
12942	43
12993	60
13045	63
13096	62
13147	51
13198	38
13249	39
13300	39
13351	38
13402	38
13453	56
13504	64
13555	63
13606	58
13657	39
13708	38
13759	38
13810	37
13861	45
13912	62
13963	63
14014	62
14065	61
14116	43
14167	38
14218	37
14269	42
14320	61
14371	63
14422	62
14473	60
14524	39
14575	38
14626	38
14678	39
14729	58
14780	63
14831	62
14882	48
14933	39
14984	42
15035	48
15086	39
15137	44
15188	47
15239	42
15290	49
15341	54
15392	62
15443	63
15494	63
15545	56
15596	56
15647	56
15698	56
15749	56
15800	56
15851	56
15902	56
15953	56
16004	56
16055	56
16106	56
16157	56
16208	56
16259	55
16311	56
16362	56
16413	56
16464	56
16515	57
16566	57
16617	57
16668	57
16719	57
16770	57
16821	56
16872	56
16923	56
16974	56
17025	56
17076	56
17127	56
17178	62
17229	65
17280	64
17331	63
17382	40
17433	39
17484	39
17535	39
17586	39
17637	39
17688	39
17739	39
17790	39
17841	51
17893	63
17944	60
17995	42
18046	38
18097	38
18148	38
18199	51
18250	63
18301	61
18352	47
18403	39
18454	41
18505	42
18556	40
18607	40
18658	50
18709	64
18760	63
18811	49
18862	39
18913	39
18964	38
19015	38
19066	50
19117	63
19168	63
19219	55
19270	39
19321	38
19372	39
19423	56
19474	62
19526	62
19577	61
