milliseconds	sensor
8	4
36	3
41	3
46	3
51	3
56	3
61	3
66	3
71	3
76	3
81	3
86	3
91	3
96	3
101	3
106	3
111	3
116	3
121	3
126	3
131	3
136	3
141	3
146	3
151	2
156	2
161	2
166	2
171	2
176	2
181	2
186	2
191	2
197	2
202	2
207	2
212	2
217	2
222	2
227	2
232	2
237	2
242	2
247	2
252	2
257	2
262	2
267	2
272	2
277	2
282	2
287	2
292	2
297	2
302	2
307	2
312	2
317	2
322	2
327	2
332	2
337	2
342	2
347	3
352	2
358	2
363	2
368	2
373	2
378	2
383	3
388	3
393	3
398	3
403	4
408	4
413	4
418	4
423	4
428	5
433	5
438	5
443	5
448	5
453	5
458	6
463	6
468	6
473	6
478	6
483	7
488	7
493	7
498	7
503	7
508	8
514	8
519	8
524	7
529	7
534	7
539	6
544	7
549	6
554	6
559	6
564	6
569	6
575	5
580	5
585	5
590	5
595	5
600	4
605	4
610	4
615	4
620	4
625	4
630	4
636	4
641	4
646	4
651	5
656	5
661	5
666	5
671	5
677	5
682	5
687	5
692	5
697	5
702	5
707	5
712	5
717	5
722	5
727	4
732	4
737	5
742	5
747	5
752	5
757	5
762	5
767	5
772	5
777	6
782	6
787	6
792	5
797	6
802	6
807	6
812	5
817	6
822	6
828	6
833	6
839	6
844	6
849	6
854	6
859	6
864	5
869	5
874	5
879	5
884	7
889	8
894	8
899	13
904	16
909	86
914	91
919	92
924	93
929	93
934	93
939	88
944	85
949	81
954	78
959	74
964	71
969	66
974	64
979	60
984	56
989	52
994	53
1000	50
1005	47
1010	44
1015	41
1020	39
1025	36
1030	34
1036	31
1041	29
1046	28
1051	26
1056	26
1061	24
1066	22
1071	21
1077	20
1082	20
1087	18
1092	17
1097	16
1102	16
1107	15
1112	14
1117	13
1122	13
1127	12
1132	12
1137	11
1142	11
1147	10
1152	10
1158	9
1163	9
1168	9
1173	8
1178	8
1183	8
1188	8
1193	7
1198	7
1203	7
1208	7
1213	6
1218	6
1223	5
1228	5
1233	5
1238	5
1243	5
1248	5
1253	4
1258	4
1263	4
1268	4
1273	4
1278	4
1283	4
1288	4
1293	4
1298	4
1303	5
1308	5
1313	5
1319	5
1324	5
1330	4
1336	5
1341	5
1346	5
1351	5
1356	5
1361	4
1366	4
1371	4
1376	4
1381	4
1386	4
1391	4
1396	4
1401	4
1406	4
1411	4
1416	4
1421	3
1426	3
1431	3
1436	3
1441	3
1448	3
1453	3
1458	3
1463	3
1468	3
1473	3
1478	3
1484	3
1489	3
1494	3
1499	3
1504	3
1509	3
1514	3
1519	4
1524	4
1529	3
1534	3
1539	3
1544	3
1549	3
1554	3
1559	3
1564	3
1569	3
1574	3
1580	3
1585	3
1590	3
1595	3
1600	3
1605	3
1610	3
1615	3
1620	3
1625	2
1630	2
1636	2
1641	2
1647	2
1652	2
1657	3
1662	3
1667	3
1672	3
1677	4
1682	4
1687	4
1692	5
1697	5
1702	5
1707	5
1712	4
1717	4
1722	4
1727	4
1732	4
1737	4
1742	4
1747	4
1752	4
1757	3
1762	3
1767	3
1772	3
1777	3
1782	3
1787	3
1792	3
1797	3
1803	3
1808	3
1813	3
1818	3
1823	3
1828	3
1833	3
1838	3
1843	3
1848	3
1853	3
1858	4
1863	4
1868	4
1873	4
1878	4
1883	4
1888	4
1893	4
1898	4
1903	4
1908	4
1913	4
1918	4
1923	4
1928	4
1933	4
1938	4
1943	4
1948	4
1953	3
1958	4
1964	4
1969	4
1974	4
1979	4
1984	4
1989	3
1994	3
1999	4
2004	3
2009	4
2014	4
2019	4
2024	4
2029	4
2034	4
2039	4
2044	4
2049	3
2054	4
2059	4
2064	4
2069	4
2074	4
2079	3
2084	3
2089	3
2094	3
2099	5
2104	7
2109	9
2114	10
2119	13
2125	14
2130	14
2136	15
2141	16
2146	17
2151	16
2156	17
2161	18
2166	18
