milliseconds	sensor
8	7
60	8
65	9
70	9
75	9
80	9
85	9
90	9
95	9
100	9
105	9
110	9
116	9
121	9
126	9
131	9
136	10
141	10
146	10
151	10
156	10
161	10
166	10
171	10
176	10
181	10
186	10
191	11
196	11
201	11
206	11
211	12
216	12
222	12
227	13
232	13
237	13
242	13
247	14
252	14
257	15
262	15
267	16
272	16
277	17
282	17
287	18
292	19
297	20
302	20
307	21
312	22
317	23
322	23
327	24
332	24
337	25
342	26
347	27
352	27
357	29
362	32
368	33
373	34
378	34
384	36
389	37
394	38
399	39
404	39
409	40
414	40
419	40
424	41
429	41
434	41
439	41
444	42
449	42
454	42
459	43
464	43
469	43
474	44
479	44
484	45
489	46
494	46
499	47
504	47
509	48
514	49
519	50
524	51
529	52
534	52
540	53
545	53
550	54
555	54
561	55
566	55
571	55
576	55
581	55
586	55
591	54
596	54
601	54
606	54
611	54
616	54
622	53
627	53
632	53
637	53
642	53
647	53
652	52
657	52
662	52
667	52
672	51
677	51
682	51
687	50
692	50
697	49
703	48
708	48
713	47
718	47
723	46
728	45
733	44
738	43
743	43
748	42
753	42
758	42
763	42
768	42
773	42
778	42
783	41
788	41
793	42
798	42
803	42
808	42
813	41
818	41
823	41
828	41
833	41
838	41
843	41
848	41
853	41
858	41
864	41
870	41
875	40
880	40
885	40
890	40
895	39
900	40
905	40
910	41
915	41
920	41
925	42
930	43
935	44
940	44
945	45
950	45
955	46
961	46
966	47
971	47
976	47
981	48
986	48
991	48
996	48
1001	48
1006	48
1011	48
1016	48
1021	47
1027	47
1032	47
1037	46
1042	46
1047	46
1052	45
1057	44
1062	44
1067	43
1072	43
1077	43
1082	42
1087	41
1092	41
1097	40
1102	39
1107	38
1112	37
1117	36
1123	35
1128	34
1133	33
1138	32
1143	31
1148	31
1153	31
1158	31
1163	31
1168	31
1173	32
1178	33
1184	34
1189	35
1194	36
1199	38
1204	39
1209	40
1214	42
1219	43
1224	44
1229	46
1234	47
1239	47
1244	48
1249	48
1254	49
1259	49
1264	49
1269	50
1274	50
1279	50
1284	50
1289	50
1294	50
1299	50
1304	50
1309	51
1314	51
1319	51
1324	51
1329	51
1334	51
1339	51
1345	51
1350	52
1355	52
1361	52
1366	53
1372	53
1377	53
1382	54
1387	54
1392	54
1397	54
1402	55
1407	55
1412	56
1417	56
1422	56
1427	57
1432	57
1437	58
1442	58
1447	59
1452	59
1457	59
1462	59
1467	60
1474	59
1479	59
1484	58
1489	58
1494	57
1499	57
1504	56
1510	55
1515	54
1520	54
1525	53
1530	52
1535	52
1540	52
1545	51
1550	50
1555	49
1561	48
1566	47
1571	46
1576	45
1581	43
1586	43
1591	41
1596	40
1601	38
1606	36
1611	35
1616	34
1622	33
1627	31
1632	30
1637	29
1642	28
1647	27
1652	26
1657	26
1662	26
1667	25
1673	25
1678	25
1683	25
1688	26
1693	27
1698	27
1703	28
1708	29
1713	30
1718	31
1723	32
1728	33
1733	34
1738	36
1743	37
1748	38
1753	39
1758	40
1763	42
1768	43
1773	44
1778	45
1783	46
1788	47
1793	48
1798	48
1803	50
1808	51
1813	52
1818	53
1823	54
1829	55
1834	55
1839	56
1844	56
1849	57
1854	57
1859	58
1864	59
1870	60
1876	61
1881	62
1886	62
1891	63
1896	63
1901	64
1906	65
1911	65
1916	66
1921	66
1926	66
1931	67
1936	67
1941	67
1946	67
1951	67
1956	68
1961	68
1966	68
1971	68
1976	68
1981	68
1986	68
1992	68
1997	68
2002	67
2007	67
2012	67
2017	67
2022	67
2027	67
2032	68
2037	68
2042	68
2047	68
2052	68
2057	68
2062	68
2067	68
2072	68
2077	67
2082	67
2087	66
2092	65
2097	64
2102	63
2107	62
2112	61
2117	60
2122	59
2128	59
2133	58
2138	57
2143	57
2148	56
2154	54
2159	53
2164	52
2169	50
2174	49
2179	47
2184	46
2189	44
2194	43
2199	41
2204	40
2209	39
2214	38
2219	38
2224	37
2229	36
2234	36
2239	35
2244	35
2249	35
2254	35
2259	36
2264	36
2269	37
2274	38
2279	39
2284	40
2289	42
2294	43
2299	44
2304	45
2309	47
2315	49
2320	50
2325	52
2330	53
2335	55
2340	56
2345	58
2350	60
2355	61
2361	63
2366	64
2371	66
2377	68
2382	70
2387	72
2392	73
2397	75
2402	76
2407	77
2412	78
2417	79
2422	80
2427	81
2432	82
2437	83
2442	83
2447	84
2452	85
2457	85
2462	85
2467	86
2473	86
2478	86
2483	86
2488	86
2493	85
2498	85
2503	83
2508	82
2513	80
2518	79
2523	77
2528	75
2533	73
2538	72
2543	72
2548	71
2553	70
2558	69
2563	69
2568	69
2573	67
2578	67
2583	67
2588	67
2593	67
2598	67
2603	66
2608	66
2613	67
2618	67
2623	67
2629	68
2635	69
2640	70
2645	69
2650	69
2655	70
2661	70
2666	70
2671	70
2676	70
2681	70
2686	69
2691	68
2696	67
2701	67
2706	67
2711	67
2716	67
2721	65
2726	65
2731	64
2736	63
2741	63
2746	63
2751	61
2756	61
2761	59
2766	58
2771	56
2776	56
2781	55
2786	54
2791	53
2797	52
2802	51
2807	51
2812	51
2817	50
2822	51
2827	51
2832	50
2837	50
2842	51
2847	52
2852	52
2857	53
2862	55
2867	57
2872	58
2878	59
2883	60
2888	62
2893	64
2898	65
2903	67
2908	67
2913	69
2918	70
2923	71
2928	71
2933	73
2938	75
2943	76
2948	77
2953	79
2959	81
2964	83
2969	85
2974	86
2979	87
2984	87
2989	89
2994	90
2999	91
3004	92
3009	92
3014	92
3019	93
3024	93
3029	93
3034	93
3039	93
3044	93
3049	93
3054	93
3059	93
3064	93
3069	93
3074	93
3079	93
3084	93
3089	93
3094	93
3099	92
3104	91
3109	89
3115	88
3120	86
3125	84
3131	83
3136	83
3141	82
3146	82
3151	81
3156	81
3161	80
3166	79
3171	79
3176	78
3181	78
3186	78
3191	78
3196	79
3201	80
3206	80
3211	80
3216	81
3221	81
3226	81
3231	81
3236	80
3241	80
3246	80
3251	78
3256	78
3261	76
3266	74
3271	73
3277	71
3282	71
3287	69
3292	68
3297	67
3302	66
3307	65
3312	65
3317	63
3322	62
3327	61
3332	61
3337	60
3342	60
3347	60
3352	60
3357	60
3362	60
3367	61
3372	61
3377	62
3382	62
3387	62
3392	63
3397	64
3402	64
3407	65
3412	67
3417	68
3422	69
3427	70
3432	70
3438	71
3443	72
3448	72
3453	72
3458	72
3463	72
3468	71
3473	72
3478	72
3483	73
3488	73
3493	74
3498	75
3503	76
3508	76
3513	76
3518	77
3523	78
3528	78
3533	79
3538	79
3543	79
3548	80
3553	80
3558	80
3563	81
3568	82
3573	82
3578	82
3583	82
3588	82
3593	80
3599	79
3604	78
3609	78
3614	77
3619	75
3624	74
3630	73
3635	73
3640	72
3645	70
3650	70
3655	69
3661	68
3666	67
3671	65
3676	64
3681	62
3686	62
3691	61
3696	60
3701	59
3706	59
3711	58
3716	58
3721	58
3726	57
3731	57
3736	57
3741	57
3746	57
3751	56
3757	55
3762	55
3767	55
3772	55
3777	55
3782	54
3787	54
3792	54
3797	54
3802	55
3807	55
3812	55
3817	56
3822	56
3827	56
3832	56
3837	56
3842	56
3847	56
3852	56
3857	57
3862	57
3867	58
3872	58
3877	59
3883	60
3888	61
3893	62
3898	63
3903	64
3908	65
3913	66
3919	67
3924	67
3929	68
3934	69
3939	70
3944	70
3949	72
3954	72
3959	73
3964	73
3969	74
3974	74
3979	75
3984	75
3989	75
3994	75
3999	75
4004	75
4009	75
4014	74
4019	74
4024	74
4029	74
4034	74
4039	74
4044	74
4049	74
4054	74
4059	73
4064	73
4069	72
4074	72
4080	71
4085	70
4090	69
4095	67
4100	66
4105	65
4110	63
4115	61
4120	60
4125	59
4130	58
4136	57
4141	56
4146	56
4151	55
4156	55
4161	55
4166	55
4171	55
4176	55
4181	56
4186	56
4191	57
4196	57
4201	58
4206	59
4211	60
4216	61
4221	61
4226	62
4231	62
4236	63
4242	63
4247	64
4252	64
4257	64
4262	64
4267	64
4272	64
4277	63
4282	63
4287	63
4292	63
4297	63
4302	63
4307	62
4312	63
4317	63
4322	63
4327	62
